time,lat_deg,lon_deg,alt_m,vel_n_mps,vel_e_mps,vel_d_mps,roll_deg,pitch_deg,yaw_deg,dt_s
2023-08-04 22:34:16+00:00,-2643.74380188,39584.37308023,-58189882833690705543958245997895769967251714825467696418963254054658361407712905264858398720.0000,215939253106961825665725368973658657371064024225757711289265779512400682625907894698115072.000000,58444325763030322029370284591862824698212265129922119775264108622701945916700955162705920.000000,-777290163040711843683454324122215122966717231287433472849657706223516597045439407960621056.000000,-144.350200,-35.791370,-93.121773,1.000000
2023-08-04 22:34:17+00:00,-2643.95543358,39584.47534448,-58968419158241355357957637841118379195021887242881096229314882991150491007756392452220518400.0000,216791419800207033361624112364588454533967173832996643821903944702585167306394185100165120.000000,58020599263457606046870237769146143135877757980010719781673780315802379061918892136857600.000000,-779782486060584052734328550375299252649306034495460720207609965453503050209237836750651392.000000,-145.031991,-35.523269,-91.874296,1.000000
2023-08-04 22:34:18+00:00,-2644.16510586,39584.57499431,-59749442579295134690496453585954284935461478767081994861153844911172674788068662928574775296.0000,217640004252406915166942037815153209584858195049552964031464563968981340443686625425227776.000000,57607486199039359850660915301509780145301859117437256723395738898211921154228779384569856.000000,-782264356046972463857272168781167454940116110517421297249895273838211434542162344132214784.000000,-145.405011,-35.149451,-91.443867,1.000000
2023-08-04 22:34:19+00:00,-2644.37285759,39584.67213087,-60532942741917055068317405804018473345283829611372432169063424120992220612125557750602137600.0000,218485106590478727239311632461535555828840753878782800607304536899079286879280922575765504.000000,57204581716045379586182288325576636252491230140258176201944783072486462741055849392766976.000000,-784735969196864786360055747032699471442344104113117916841211744572867300304923935364874240.000000,-145.850511,-34.782735,-90.731524,1.000000
2023-08-04 22:34:20+00:00,-2644.57872650,39584.76685014,-61318909484236873902082105683151706859655161054154420093165834959749382132661793075981451264.0000,219326822194216531793659881406647654066642497668858304055137560937325910108117930350739456.000000,56811501774015793017113682787024051216293560960769298387901247321897151887121488797499392.000000,-787197515442775255811799073382306517252159779933343203501967333773335456206281252674732032.000000,-145.978059,-34.563345,-89.977883,1.000000
2023-08-04 22:34:21+00:00,-2644.78274925,39584.85924325,-62107332831325798934340039977817885282524830624816041818155942299528520232461499525482151936.0000,220165242007464146526680957086398368509736116775954884372642690833712714432454404153016320.000000,56427881820621598249900914379630180222296932618869605812135744360960408700768160971751424.000000,-789649178735074921782281661766647421818219408936685259437216745824554063175928529054334976.000000,-146.504552,-35.036135,-90.316086,1.000000
2023-08-04 22:34:22+00:00,-2644.98496142,39584.94939681,-62898202989347337695772471384428925157150218954454408450404927683327932761386496374050127872.0000,221000452824046832065225800741085634601567036650238254055080755626928331086969727531089920.000000,56053375566483663455035091284181361199749411782410765641081262322315419949614425448644608.000000,-792091137308001470300459693289461394122156774872197875471060021378137796846096340804960256.000000,-147.245768,-35.542860,-89.444764,1.000000
2023-08-04 22:34:23+00:00,-2645.18539761,39585.03739315,-63691510339966580430602874000330621628787881950938632642089581996895248668712226858108715008.0000,221832537550853802207894236740975616898813556921511663709349421152145803566065052276490240.000000,55687653851275032103515549670822347531561173766886010291813615117854519695016537614188544.000000,-794523563930483773203921246880737362491089123002680481980309805677267378239770861856882688.000000,-147.668989,-35.463195,-88.490103,1.000000
2023-08-04 22:34:24+00:00,-2645.38409140,39585.12331061,-64487245435003239843863074038679555177201117105992417191790854732936385281998351609892962304.0000,222661575450204551275536158237040160421096312490222775316269845299495695050953744034299904.000000,55330403593284553347569573153500463124610191399734775666824543294509623077293292341166080.000000,-796946626142829286327659393170677974452338762218852956514796264384726539409837622600663040.000000,-147.354971,-35.237206,-88.143875,1.000000
2023-08-04 22:34:25+00:00,-2645.58107547,39585.20722377,-65285398991314776966979515155888847869566355718175331933997072658606160271482065974949052416.0000,223487642363409172269334991003251630063140240689661582531695095191229448832884610519007232.000000,54981326815370880255444506541824731576428314970551189903513300801912882802017021368205312.000000,-799360486480235122100766155203960290477654325576680400467301783508464618454262310204604416.000000,-147.347029,-35.299322,-87.759526,1.000000
